n,pts_time,fps,frame_idx
1,0.0,25.0,0
2,3.6,25.0,90
3,10.2,25.0,254
4,13.44,25.0,336
5,14.16,25.0,354
6,15.48,25.0,387
7,20.56,25.0,514
8,24.36,25.0,609
9,25.52,25.0,638
10,30.44,25.0,761
11,32.48,25.0,811
12,39.48,25.0,986
13,45.48,25.0,1137
14,51.12,25.0,1278
15,53.84,25.0,1346
16,55.2,25.0,1380
17,56.24,25.0,1406
18,58.8,25.0,1470
19,61.64,25.0,1541
20,64.28,25.0,1607
21,69.6,25.0,1739
22,72.76,25.0,1819
23,74.4,25.0,1860
24,78.0,25.0,1950
25,80.72,25.0,2018
26,87.68,25.0,2192
27,94.16,25.0,2354
28,100.8,25.0,2520
29,104.4,25.0,2610
30,110.4,25.0,2760
31,112.08,25.0,2802
32,115.64,25.0,2891
33,116.84,25.0,2921
34,122.4,25.0,3060
35,126.12,25.0,3153
36,127.2,25.0,3180
37,130.8,25.0,3270
38,136.2,25.0,3404
39,139.2,25.0,3479
40,143.92,25.0,3597
41,145.2,25.0,3629
42,148.8,25.0,3720
43,153.16,25.0,3829
44,158.4,25.0,3960
45,161.64,25.0,4040
46,168.0,25.0,4200
47,172.24,25.0,4306
48,174.0,25.0,4350
49,177.04,25.0,4426
50,179.88,25.0,4497
51,186.88,25.0,4672
52,191.4,25.0,4785
53,194.52,25.0,4863
54,200.4,25.0,5010
55,202.4,25.0,5060
56,206.84,25.0,5171
57,210.96,25.0,5274
58,213.6,25.0,5340
59,215.96,25.0,5399
60,218.84,25.0,5471
61,222.36,25.0,5559
62,225.64,25.0,5641
63,231.36,25.0,5784
64,236.4,25.0,5910
65,239.56,25.0,5989
66,244.8,25.0,6120
67,247.52,25.0,6188
68,250.8,25.0,6270
69,253.92,25.0,6348
70,257.72,25.0,6443
71,264.6,25.0,6615
72,270.0,25.0,6750
73,273.52,25.0,6838
74,277.16,25.0,6929
75,279.6,25.0,6990
76,283.44,25.0,7086
77,286.52,25.0,7163
78,288.76,25.0,7219
79,290.4,25.0,7259
80,292.92,25.0,7323
81,298.44,25.0,7461
82,299.36,25.0,7484
83,300.76,25.0,7519
84,305.84,25.0,7645
85,308.84,25.0,7720
86,315.76,25.0,7894
87,319.2,25.0,7980
88,323.16,25.0,8079
89,325.2,25.0,8130
90,331.2,25.0,8280
91,338.2,25.0,8455
